id,name,latitude,longitude,type,dongCode
0,뱅뱅사거리,37.486653,127.033097,bus,118
1,래미안아파트.파이낸셜뉴스,37.491087,127.030987,bus,101
2,신분당선강남역,37.494993,127.029112,bus,101
3,지하철2호선강남역,37.500785,127.02637,bus,101
4,논현역,37.506367,127.023728,bus,108
5,신사역,37.512972,127.020607,bus,108
6,도심공항터미널(가상),37.5086936718,127.0590297949,bus,105
7,신사중학교,37.5229277357,127.0204991277,bus,107
8,신사중학교,37.5235638197,127.0210219949,bus,110
9,광림교회.현대고등학교,37.5253868122,127.0252663803,bus,107
10,광림교회.현대고등학교,37.5252779533,127.0244392928,bus,110
11,압구정역4번출구,37.5261538704,127.0282580859,bus,107
12,국민은행,37.5230982773,127.028118907,bus,107
13,신사동고개,37.5189474323,127.0258423035,bus,107
14,신사역8번출구.가로수길,37.5174397364,127.0221753116,bus,107
15,신사역6번출구,37.517422,127.019435,bus,107
16,신사역3번출구,37.5150099842,127.0201537084,bus,108
17,신사역1번출구,37.5167928115,127.0218266895,bus,108
18,신사동고개,37.5185545148,127.0260152561,bus,108
19,강남을지병원,37.5183863397,127.0284882026,bus,108
20,학동역,37.5147842255,127.0301678528,bus,108
21,논현동사거리.학동역,37.5138084599,127.0296697218,bus,108
22,영동시장,37.5118508617,127.0234688746,bus,108
23,영동시장,37.5112644378,127.0224777731,bus,108
24,논현동사거리.학동역,37.5135731512,127.0301492658,bus,108
25,논현동고개,37.5102565309,127.0323028097,bus,108
26,삼정호텔,37.5067856544,127.0316905107,bus,108
27,신논현역,37.5051353042,127.0260920374,bus,108
28,교보타워,37.5057773025,127.0241456343,bus,108
29,영동시장논현역,37.5102711129,127.0220463814,bus,108
30,언북중학교입구,37.5202978876,127.0308205822,bus,108
31,제일은행.호림아트센터앞,37.5215790063,127.0349369258,bus,108
32,영동119안전센터,37.5225557208,127.0381006504,bus,108
33,강남구청역,37.5184656847,127.040640587,bus,108
34,강남구청역,37.5169817759,127.0400469962,bus,108
35,세관앞,37.5157593644,127.0360665964,bus,108
36,서울세관,37.5170273453,127.0356282732,bus,108
